CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
leap.club,2014,Gurugram,"Ragini Das, Anand Sinha","Enzia Ventures, Kunal Shah",,Gurugram,Community,A community-led professional network for women,810000.0,Pre-series A
F5,2018,New Delhi,"Raghav Arora, Lalit Aggarwal",Auxano Capital,,New Delhi,Retail,One-Stop Solution for Daily Workplace Needs,600000.0,Pre-series A
ForeignAdmits,2018,Bangalore,"Nikhil Jain, Ashwini Jain",Unicorn India Ventures,,Bangalore,Higher Education,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,400000.0,Seed
SALT,2019,Bangalore,"Ankit Parasher, Udita Pal","Prashant Pansare, Supermorpheus",,Bangalore,Financial Services,Salt is a neo-banking experience created to cater to international businesses.,500000.0,Pre-seed
Crater.Club,2020,Bangalore,"Vignesh Prasad, Vivan Puri",LC Nueva AIF,,Bangalore,Media,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.",700000.0,Seed
NFTically,2021,Gurugram,Toshendra Sharma,"Nitish Mittersain, Gaurav Munjal",,Gurugram,NFT,"NFTically is a global B2B SaaS that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label NFT store or NFT Marketplace without any technical knowledge.",1000000.0,Seed
ReshaMandi,2020,Bangalore,Utkarsh Apoorva,"9Unicorns, Venture Catalysts, Sandeep Singhal",,Bangalore,B2B,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.",30000000.0,Series A
Hubilo,2020,Ahmedabad,"Mayank Agarwal, Vaibhav Jain",Alkeon Capital,,Ahmedabad,Software Startup,Hubilo is the leading hybrid event platform built for engagement and event excellence.,125000000.0,Series B
M2P Fintech,2015,Chennai,Madhusudanan R,Tiger Global,,Chennai,Financial Services,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",35000000.0,Series C
Open Financial Technologies,2017,Bangalore,Anish Achuthan,"Temasek, Google, SBI Investment",,Bangalore,Financial Services,Open is Asia’s first neobanking platform for SMEs and startups.,90000000.0,Series C
