CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
Survaider,2018,2018,True,Bengaluru,"Business Intelligence, Customer Service, Market Research, SaaS",Stethoscope for customer feedback !,Unknown,Unknown,500000.0,Seed
Credy,2018,2018,True,Bengaluru,"Credit, Financial Services, FinTech, Lending",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,Unknown,Unknown,1400000.0,Seed
iChamp,2018,2018,True,Gurugram,E-Learning,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,Unknown,Unknown,5000000.0,Seed
Qandle,2018,2018,True,Gurugram,Software,A cloud-based HR management and employee engagement platform.,Unknown,Unknown,1200000.0,Seed
Avishkaar Box,2018,2018,True,New Delhi,"Children, Education, Parenting","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",Unknown,Unknown,600000.0,Seed
HyperXchange,2018,2018,True,Pune,"E-Commerce, Mobile, Sharing Economy",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,Unknown,Unknown,1000000.0,Series A
Doodhwala,2018,2018,True,Bengaluru,"Food Delivery, Organic, Organic Food",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,Unknown,Unknown,2200000.0,Seed
DronaHQ,2018,2018,True,Mumbai,Mobile,DronaHQ is an enterprise mobile engagement platform.,Unknown,Unknown,500000.0,Angel
FastFox,2018,2018,True,Gurugram,Rental,FastFox: Market Network for Home Rentals (India),Unknown,Unknown,1200000.0,Series A
BuyForexOnline,2018,2018,True,Bengaluru,Travel,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,Unknown,Unknown,2000000.0,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593
Colive.in,2018,2018,True,Bengaluru,Consumer,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,Unknown,Unknown,1800000.0,Seed
Agricxlab Private Limited,2018,2018,True,Thane,"B2B, Farming, Marketplace",Online marketplace where farmers and traders can sell their produce to B2B buyers,Unknown,Unknown,500000.0,Seed
Fincash.com,2018,2018,True,Mumbai,Wealth Management,A startup in the personal finance space in India .,Unknown,Unknown,150000.0,Seed
Pandorum Technologies,2018,2018,True,Bengaluru,Biotechnology,Bengaluru based biotech startup.,Unknown,Unknown,3600000.0,Series A
Shirsa Labs,2018,2018,True,Mumbai,"Education, Gaming, Training",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,Unknown,Unknown,500000.0,Seed
PetSutra,2018,2018,True,Gurugram,Veterinary,Gurugram-based Online petcare platform.,Unknown,Unknown,114000.0,Seed
PinkBlue,2018,2018,True,Bengaluru,"Health Care, Hospital, Supply Chain Management",PinkBlue.in - Super-efficient supply-chain for clinical supplies,Unknown,Unknown,300000.0,Seed
Eduvanz,2018,2018,True,Mumbai,"Finance, Financial Services","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",Unknown,Unknown,500000.0,Angel
Rupeek,2018,2018,True,Bengaluru,"Financial Services, Lending",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,Unknown,Unknown,6830000.0,Series A
Backpacker Panda Holidays Private Limited,2018,2018,True,Pune,"Tourism, Travel",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,Unknown,Unknown,1400000.0,Series A
Shape (School Health and Physical Education),2018,2018,True,Pune,Education,Physical education start up,Unknown,Unknown,200000.0,Seed
Placio,2018,2018,True,Noida,"Hospitality, Real Estate",Placio is a student housing and a complete broker-free platform.,Unknown,Unknown,2000000.0,Seed
Aviom India Housing Finance,2018,2018,True,New Delhi,Finance,Delhi based housing finance company.,Unknown,Unknown,1800000.0,Series A
HeyHolidays,2018,2018,True,Bengaluru,"Tourism, Travel","HeyHolidays, a global player in online vacation rentals.",Unknown,Unknown,1000000.0,Seed
Pratilipi,2018,2018,True,Bengaluru,"Digital Media, EBooks, Publishing, Reading Apps",Amazon's Kindle Direct Publishing for Indian Languages,Unknown,Unknown,4300000.0,Series A
Silversparro Technologies Pvt. Ltd,2018,2018,True,Gurugram,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Silversparro is a deep learning technology solution provider.,Unknown,Unknown,300000.0,Seed
Emflux Motors,2018,2018,True,Bengaluru,"Automotive, Electric Vehicle, Energy",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,Unknown,Unknown,364846.0,Seed
Tricog Health Services Pvt Ltd,2018,2018,True,Bengaluru,"Health Care, Health Diagnostics, Predictive Analytics",Predictive Healthcare Analytics Company,Unknown,Unknown,4000000.0,Series A
Scapic,2018,2018,True,Bengaluru,"Cloud Computing, Computer, SaaS, Software",Virtual/Augmented Reality Start Up .,Unknown,Unknown,500000.0,Seed
6Degree,2018,2018,True,Mumbai,"Fashion, Lifestyle, Retail",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,Unknown,Unknown,400000.0,Seed
Ekincare,2018,2018,True,Hyderabad,Medical,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,Unknown,Unknown,1500000.0,Series A
Groww,2018,2018,True,Kormangala,"Finance, Impact Investing, Internet",Groww offers a new way of investing money.,Unknown,Unknown,120000.0,Seed
Cell Propulsion,2018,2018,True,Bengaluru,—,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,Unknown,Unknown,84000.0,Seed
Chezuba,2018,2018,True,Hyderabad,"Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,Unknown,Unknown,16800.0,Angel
Wealthtrust,2018,2018,True,Mumbai,"Finance, Impact Investing, Mobile Apps",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,Unknown,Unknown,500000.0,Seed
Awign Enterprises,2018,2018,True,Bengaluru,"Business Development, Market Research, Outsourcing",Operations and manpower outsourcing startup,Unknown,Unknown,600000.0,Seed
Hubhopper,2018,2018,True,New Delhi,"Internet, Social News, Sports",Get your daily dose of interest as summaries from news and magazine stories .,Unknown,Unknown,500000.0,Series A
Rubix108 Technologies,2018,2018,True,Pune,Information Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,Unknown,Unknown,1000000.0,Seed
Workflexi,2018,2018,True,Bengaluru,Human Resources,"Be Smart, Work on Contract,Be Smart, Hire on Contract",Unknown,Unknown,120000.0,Seed
Streak,2018,2018,True,Bengaluru,Financial Services,Algorithmic trading platform.,Unknown,Unknown,270000.0,Seed
Kuants,2018,2018,True,Gurugram,Financial Services,Algorithmic trading platform.,Unknown,Unknown,60000.0,Seed
NiYO Solutions,2018,2018,True,Bengaluru,"Finance, Financial Services, FinTech",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,Unknown,Unknown,13200000.0,Series A
